event,tag,sport,sport_code,sport_url,venue_name,venue_lat,venue_long,venue_name_clean
Men's Individual,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery,Esplanade des Invalides (Les Invalides),48.8584337,2.3138998,Esplanade des Invalides
Women's Individual,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery,Esplanade des Invalides (Les Invalides),48.8584337,2.3138998,Esplanade des Invalides
Men's Team,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery,Esplanade des Invalides (Les Invalides),48.8584337,2.3138998,Esplanade des Invalides
Women's Team,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery,Esplanade des Invalides (Les Invalides),48.8584337,2.3138998,Esplanade des Invalides
Mixed Team,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery,Esplanade des Invalides (Les Invalides),48.8584337,2.3138998,Esplanade des Invalides
Men's Team,artistic-gymnastics,Artistic Gymnastics,GAR,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,Accor Arena,48.8387085,2.3787666,Accor Arena
Men's All-Around,artistic-gymnastics,Artistic Gymnastics,GAR,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,Accor Arena,48.8387085,2.3787666,Accor Arena
Men's Floor Exercise,artistic-gymnastics,Artistic Gymnastics,GAR,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,Accor Arena,48.8387085,2.3787666,Accor Arena
Men's Pommel Horse,artistic-gymnastics,Artistic Gymnastics,GAR,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,Accor Arena,48.8387085,2.3787666,Accor Arena
Men's Rings,artistic-gymnastics,Artistic Gymnastics,GAR,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,Accor Arena,48.8387085,2.3787666,Accor Arena
Men's Vault,artistic-gymnastics,Artistic Gymnastics,GAR,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,Accor Arena,48.8387085,2.3787666,Accor Arena
Men's Parallel Bars,artistic-gymnastics,Artistic Gymnastics,GAR,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,Accor Arena,48.8387085,2.3787666,Accor Arena
Men's Horizontal Bar,artistic-gymnastics,Artistic Gymnastics,GAR,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,Accor Arena,48.8387085,2.3787666,Accor Arena
